1.0,101
1.0,102
1.0,103
1.0,104
1.0,105
1.0,109
1.0,137
1.0,151
1.0,170
1.0,174
1.0,238
1.0,273
1.0,277
1.0,291
1.0,292
1.0,295
1.0,305
1.0,339
1.0,355
1.0,381
1.0,384
1.0,407
1.0,408
1.0,409
1.0,447
1.0,451
1.0,454
1.0,455
1.0,475
1.0,485
1.0,490
1.0,533
1.0,539
1.0,540
1.0,541
1.0,564
1.0,581
1.0,585
1.0,608
1.0,609
1.0,626
1.0,627
1.0,643
1.0,676
1.0,677
1.0,746
1.0,754
1.0,770
1.0,78
1.0,80
1.0,813
1.0,814
1.0,815
1.0,829
1.0,834
1.0,835
1.0,839
1.0,843
1.0,844
1.0,845
1.0,864
1.0,866
1.0,869
1.0,872
1.0,881
1.0,896
1.0,91
1.0,961
1.0,965
1.0,997
1.0,998
2.0,136
2.0,165
2.0,168
2.0,191
2.0,194
2.0,207
2.0,212
2.0,213
2.0,214
2.0,216
2.0,257
2.0,268
2.0,289
2.0,290
2.0,309
2.0,335
2.0,336
2.0,341
2.0,363
2.0,403
2.0,412
2.0,423
2.0,428
2.0,472
2.0,498
2.0,553
2.0,607
2.0,612
2.0,624
2.0,634
2.0,692
2.0,744
2.0,763
2.0,800
2.0,806
2.0,809
2.0,840
2.0,842
2.0,880
2.0,897
2.0,917
2.0,927
2.0,984
2.0,991
2.0,996
3.0,135
3.0,142
3.0,160
3.0,162
3.0,208
3.0,225
3.0,228
3.0,232
3.0,237
3.0,255
3.0,267
3.0,276
3.0,3
3.0,315
3.0,317
3.0,318
3.0,320
3.0,326
3.0,338
3.0,360
3.0,371
3.0,372
3.0,375
3.0,427
3.0,438
3.0,453
3.0,463
3.0,464
3.0,477
3.0,486
3.0,488
3.0,499
3.0,518
3.0,534
3.0,582
3.0,583
3.0,602
3.0,605
3.0,606
3.0,620
3.0,656
3.0,661
3.0,685
3.0,695
3.0,711
3.0,726
3.0,733
3.0,757
3.0,767
3.0,808
3.0,820
3.0,832
3.0,849
3.0,870
3.0,895
3.0,900
3.0,916
3.0,921
3.0,930
3.0,931
3.0,950
3.0,956
3.0,959
3.0,966
3.0,967
4.0,1
4.0,106
4.0,117
4.0,121
4.0,127
4.0,128
4.0,13
4.0,141
4.0,145
4.0,148
4.0,149
4.0,153
4.0,155
4.0,156
4.0,157
4.0,159
4.0,176
4.0,177
4.0,178
4.0,202
4.0,203
4.0,204
4.0,205
4.0,209
4.0,21
4.0,211
4.0,217
4.0,218
4.0,220
4.0,221
4.0,223
4.0,226
4.0,227
4.0,229
4.0,234
4.0,240
4.0,243
4.0,245
4.0,249
4.0,260
4.0,271
4.0,288
4.0,293
4.0,322
4.0,330
4.0,337
4.0,346
4.0,352
4.0,362
4.0,365
4.0,366
4.0,370
4.0,378
4.0,383
4.0,389
4.0,390
4.0,392
4.0,398
4.0,4
4.0,400
4.0,402
4.0,405
4.0,420
4.0,430
4.0,432
4.0,433
4.0,437
4.0,444
4.0,445
4.0,448
4.0,470
4.0,473
4.0,478
4.0,479
4.0,481
4.0,483
4.0,487
4.0,492
4.0,497
4.0,515
4.0,516
4.0,522
4.0,523
4.0,531
4.0,535
4.0,537
4.0,538
4.0,543
4.0,545
4.0,550
4.0,551
4.0,552
4.0,558
4.0,566
4.0,571
4.0,580
4.0,584
4.0,590
4.0,593
4.0,599
4.0,601
4.0,604
4.0,613
4.0,619
4.0,621
4.0,622
4.0,625
4.0,629
4.0,64
4.0,65
4.0,650
4.0,651
